formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,n_sites,eta_min,eta_mean,eta_std,eta_max,activity,formable,score,pareto,rank,eta_prior
Cr21Co29Fe30Cu19,4,2.773010062723737,3.6838031990491,5.756736860304516,0.910793136325363,1.543010062723737,1,0.5135999554880424,True,FCC,1.0395322473390696,4.237759083758743,4.801375703348133,11.373896353317658,8.447307195770515,0.36507960288670216,13.413389782408736,fairchem:uma-s-1p1:rutile,4,1.543010062723737,2.025487529996922,0.3936275432869995,2.448465480716151,0.7254175775685064,True,0.5898046960080063,False,21,0.4026757262614913
Cu33Mn5Ni31Co30,4,2.8115149660979264,5.357757234962241,5.743477050066376,2.5462422688643147,1.5815149660979264,1,0.6158658075573598,True,FCC,1.9562509982731453,4.752421332539474,3.5031899980948245,10.369501126377651,9.873498011940246,0.11206348055029845,18.6455020973407,fairchem:uma-s-1p1:rutile,4,1.5815149660979264,2.224181355030552,0.5518035268407093,2.8808274220738785,0.7117717513261065,True,0.5630583140403209,False,22,0.5534622433355216
Ni30Fe27Mn9Cr34,4,-0.7780707446048233,0.2687019839254729,1.1107748691070625,1.0467727285302961,2.5792251308929375,4,0.9433906819559309,True,FCC+BCC,2.4431361842375994,4.574963337518519,-4.463032293926379,10.837502219320564,7.820029571887928,0.4225762264103158,8.81468113873512,fairchem:uma-s-1p1:rutile,4,2.5792251308929375,3.5220084021984097,0.7551525664015478,4.463562400234537,0.3581913406245686,True,0.5466281201811267,True,23,0.48742447602965866
Cr30Mn34Co14Cu21,4,1.3497879134086852,1.8606603012637832,4.809901056512688,0.510872387855098,1.7192407552489049,3,0.5462423815746238,True,FCC+BCC,3.4514496506202454,4.603979010816922,4.152006333286069,11.121278943226102,7.846511567165754,0.23968697855343463,10.158182087309646,fairchem:uma-s-1p1:rutile,4,1.7192407552489049,1.8925817107252525,0.26381160839617085,2.3489585164242603,0.6629628458839116,True,0.5432915331250299,False,24,0.47603610469778435
Cu26Ni9Cr31Co33,4,1.5922324129762537,2.9241912588077295,5.8265300467906105,1.3319588458314757,1.672338787982881,3,0.5932181310507713,True,FCC,0.9975074284318243,5.042357013702821,3.8381262509190868,10.822819376907347,8.665546849976602,0.10129695522278734,17.977976170839447,fairchem:uma-s-1p1:rutile,4,1.672338787982881,2.3370495201565684,0.38387312514553457,2.5726114806543583,0.6795845236354238,True,0.5380170921775007,False,25,0.40223649713674847
Co20Mn27Ni18Cr35,4,1.2318879707809551,2.249237121617943,5.84084508365625,1.017349150836988,2.3616079620383066,3,0.9198969210133692,True,FCC+BCC,3.508387551106,4.310587834477461,-4.798609636388555,11.253841797280174,7.603414315550903,0.21757439787889957,13.760002092496677,fairchem:uma-s-1p1:rutile,4,2.3616079620383066,2.4751061873182176,0.08443437655957277,2.5689388232667048,0.43531310469433265,True,0.537140508226957,False,26,0.5370761873909116
Mn23Ni32Cu18Fe18Co9,5,3.752106909878288,6.927147134884001,5.7911643708710745,3.1750402250057124,2.5221069098782882,1,0.7960686655552249,True,FCC,3.363998024817573,69.68872268900859,0.29868079135698566,12.761527449203722,9.034782309877814,0.35804931153806513,10.839937709228861,fairchem:uma-s-1p1:rutile,4,2.5221069098782882,2.7122469701964884,0.18994903361493415,3.015237491994981,0.37843357605278066,True,0.4996472500005708,False,27,0.3969009248761728
Mn20Cu35Cr8Co32Fe6,5,3.406012136831786,3.2330832559323763,4.171543841846942,-0.1729288808994096,2.176012136831786,1,0.5253876126284115,True,FCC,2.931167250593289,4.218082835027774,4.520869799520098,11.837329529377055,9.004735453366095,0.21039608206898713,14.664522868540697,fairchem:uma-s-1p1:rutile,4,2.176012136831786,2.792042033419111,0.6160571975524035,3.8188070316595746,0.5010867636351487,True,0.4502388820198952,False,28,0.42895420223332836
Cr33Co5Ni29Cu33,4,3.8966931577427126,7.040915812397122,5.860304439459485,3.1442226546544094,2.6666931577427126,1,0.5672574751069958,True,FCC,1.1298161686850736,4.382744776135886,4.148962034773089,10.341403191485218,8.954191430760307,0.1429310521735262,12.991769228941061,fairchem:uma-s-1p1:rutile,4,2.6666931577427126,3.853347438943043,0.7123220060049177,4.566665799789476,0.3271933795452095,True,0.3623601427394087,False,29,0.4093681403093896
Co20Mn8Ni18Fe26Cu28,5,-0.7369644780677241,0.9529916445691013,5.772937761881012,1.6899561226368256,3.589946117311911,3,0.500746120980283,True,FCC,2.3392863411946228,4.28351885357611,4.8957719187276,12.802588801526053,9.317028811354154,0.35617254590943853,12.715314167269787,fairchem:uma-s-1p1:rutile,4,3.589946117311911,4.512623921313992,0.9824600013280038,6.150676689301974,0.0,True,0.2214583454759726,False,30,0.4908837213755859
